yy,mm,dd,Time,river,week,site,loc,period,wt_lbs,wt_kg,lgth,freq,Flbin
1990,5,10,,,2,48,UPPER,PM,,,258,6,255
1990,5,10,,,2,48,UPPER,PM,,,260,4,260
1990,5,10,,,2,48,UPPER,PM,,,263,8,260
1990,5,10,,,2,48,UPPER,PM,,,265,10,265
1990,5,10,,,2,48,UPPER,PM,,,268,6,265
1990,5,10,,,2,48,UPPER,PM,,,270,4,270
1990,5,10,,,2,48,UPPER,PM,,,273,5,270
1990,5,10,,,2,48,UPPER,PM,,,275,8,275
1990,5,10,,,2,48,UPPER,PM,,,278,17,275
1990,5,10,,,2,48,UPPER,PM,,,280,3,280
1990,5,10,,,2,48,UPPER,PM,,,283,11,280
1990,5,10,,,2,48,UPPER,PM,,,285,10,285
1990,5,10,,,2,48,UPPER,PM,,,288,5,285
1990,5,10,,,2,48,UPPER,PM,,,290,4,290
1990,5,10,,,2,48,UPPER,PM,,,293,14,290
1990,5,10,,,2,48,UPPER,PM,,,295,2,295
1990,5,10,,,2,48,UPPER,PM,,,298,10,295
1990,5,10,,,2,48,UPPER,PM,,,300,3,300
1990,5,10,,,2,48,UPPER,PM,,,303,5,300
1990,5,10,,,2,48,UPPER,PM,,,305,2,305
1990,5,10,,,2,48,UPPER,PM,,,310,1,310
1990,5,10,,,2,48,UPPER,PM,,,313,2,310
1990,5,11,,,2,34,UPPER,AM,,,250,1,250
1990,5,11,,,2,34,UPPER,AM,,,258,1,255
1990,5,11,,,2,34,UPPER,AM,,,260,5,260
1990,5,11,,,2,34,UPPER,AM,,,263,6,260
1990,5,11,,,2,34,UPPER,AM,,,265,8,265
1990,5,11,,,2,34,UPPER,AM,,,268,4,265
1990,5,11,,,2,34,UPPER,AM,,,270,9,270
1990,5,11,,,2,34,UPPER,AM,,,273,7,270
1990,5,11,,,2,34,UPPER,AM,,,275,18,275
1990,5,11,,,2,34,UPPER,AM,,,278,19,275
1990,5,11,,,2,34,UPPER,AM,,,280,19,280
1990,5,11,,,2,34,UPPER,AM,,,283,11,280
1990,5,11,,,2,34,UPPER,AM,,,285,20,285
1990,5,11,,,2,34,UPPER,AM,,,288,18,285
1990,5,11,,,2,34,UPPER,AM,,,290,13,290
1990,5,11,,,2,34,UPPER,AM,,,293,23,290
1990,5,11,,,2,34,UPPER,AM,,,295,7,295
1990,5,11,,,2,34,UPPER,AM,,,298,10,295
1990,5,11,,,2,34,UPPER,AM,,,300,5,300
1990,5,11,,,2,34,UPPER,AM,,,303,4,300
1990,5,11,,,2,34,UPPER,AM,,,305,4,305
1990,5,11,,,2,34,UPPER,AM,,,308,1,305
1990,5,11,,,2,34,UPPER,AM,,,310,1,310
1990,5,11,,,2,34,UPPER,AM,,,313,2,310
1990,5,11,,,2,34,UPPER,AM,,,315,1,315
1990,5,11,,,2,34,UPPER,AM,,,320,1,320
1990,5,11,,,2,4,LOWER,PM,,,248,2,245
1990,5,11,,,2,4,LOWER,PM,,,250,2,250
1990,5,11,,,2,4,LOWER,PM,,,253,1,250
1990,5,11,,,2,4,LOWER,PM,,,255,4,255
1990,5,11,,,2,4,LOWER,PM,,,258,6,255
1990,5,11,,,2,4,LOWER,PM,,,260,8,260
1990,5,11,,,2,4,LOWER,PM,,,263,6,260
1990,5,11,,,2,4,LOWER,PM,,,265,8,265
1990,5,11,,,2,4,LOWER,PM,,,268,4,265
1990,5,11,,,2,4,LOWER,PM,,,270,12,270
1990,5,11,,,2,4,LOWER,PM,,,273,5,270
1990,5,11,,,2,4,LOWER,PM,,,275,9,275
1990,5,11,,,2,4,LOWER,PM,,,278,13,275
1990,5,11,,,2,4,LOWER,PM,,,280,11,280
1990,5,11,,,2,4,LOWER,PM,,,283,6,280
1990,5,11,,,2,4,LOWER,PM,,,285,18,285
1990,5,11,,,2,4,LOWER,PM,,,288,7,285
1990,5,11,,,2,4,LOWER,PM,,,290,7,290
1990,5,11,,,2,4,LOWER,PM,,,293,15,290
1990,5,11,,,2,4,LOWER,PM,,,295,6,295
1990,5,11,,,2,4,LOWER,PM,,,298,7,295
1990,5,11,,,2,4,LOWER,PM,,,300,4,300
1990,5,11,,,2,4,LOWER,PM,,,303,6,300
1990,5,11,,,2,4,LOWER,PM,,,310,1,310
1990,5,11,,,2,4,LOWER,PM,,,313,1,310
1990,5,12,,,2,56,UPPER,PM,,,248,1,245
1990,5,12,,,2,56,UPPER,PM,,,250,4,250
1990,5,12,,,2,56,UPPER,PM,,,253,3,250
1990,5,12,,,2,56,UPPER,PM,,,255,5,255
1990,5,12,,,2,56,UPPER,PM,,,258,1,255
1990,5,12,,,2,56,UPPER,PM,,,260,6,260
1990,5,12,,,2,56,UPPER,PM,,,263,2,260
1990,5,12,,,2,56,UPPER,PM,,,265,12,265
1990,5,12,,,2,56,UPPER,PM,,,268,3,265
1990,5,12,,,2,56,UPPER,PM,,,270,12,270
1990,5,12,,,2,56,UPPER,PM,,,273,4,270
1990,5,12,,,2,56,UPPER,PM,,,275,25,275
1990,5,12,,,2,56,UPPER,PM,,,278,17,275
1990,5,12,,,2,56,UPPER,PM,,,280,20,280
1990,5,12,,,2,56,UPPER,PM,,,283,7,280
1990,5,12,,,2,56,UPPER,PM,,,285,28,285
1990,5,12,,,2,56,UPPER,PM,,,288,7,285
1990,5,12,,,2,56,UPPER,PM,,,290,16,290
1990,5,12,,,2,56,UPPER,PM,,,293,11,290
1990,5,12,,,2,56,UPPER,PM,,,295,9,295
1990,5,12,,,2,56,UPPER,PM,,,298,5,295
1990,5,12,,,2,56,UPPER,PM,,,300,8,300
1990,5,12,,,2,56,UPPER,PM,,,303,2,300
1990,5,12,,,2,56,UPPER,PM,,,305,4,305
1990,5,12,,,2,56,UPPER,PM,,,310,2,310
1990,5,14,,,3,23,LOWER,AM,,,232,1,230
1990,5,14,,,3,23,LOWER,AM,,,237,1,235
1990,5,14,,,3,23,LOWER,AM,,,242,6,240
1990,5,14,,,3,23,LOWER,AM,,,247,20,245
